seed,fold,epoch,g_physics,g_esm
2025,4,50,0.299850732088089,0.6329827904701233
2026,0,0,0.4976816177368164,0.47012531757354736
2026,0,1,0.5016088485717773,0.47031673789024353
2026,0,2,0.5034920573234558,0.468499094247818
2026,0,3,0.4987674653530121,0.4715000092983246
2026,0,4,0.4985733926296234,0.4781915545463562
2026,0,5,0.4999857246875763,0.47969892621040344
2026,0,6,0.491424560546875,0.4962838888168335
2026,0,7,0.49703454971313477,0.5094507932662964
2026,0,8,0.4989762306213379,0.5225282311439514
2026,0,9,0.4944373369216919,0.5482051968574524
2026,0,10,0.49668461084365845,0.5710519552230835
2026,0,11,0.5014773607254028,0.590268075466156
2026,0,12,0.5052999258041382,0.6106597185134888
2026,0,13,0.5060685276985168,0.6428326368331909
2026,0,14,0.5020442605018616,0.6705856323242188
2026,0,15,0.5166710615158081,0.695064902305603
2026,0,16,0.5154047012329102,0.7111387252807617
2026,0,17,0.5146872401237488,0.7495942711830139
2026,0,18,0.5276654958724976,0.7625126838684082
2026,0,19,0.5387495160102844,0.7711676359176636
2026,0,20,0.5288049578666687,0.787244439125061
2026,0,21,0.5338523387908936,0.8028183579444885
2026,0,22,0.5358758568763733,0.8103427886962891
2026,0,23,0.52480149269104,0.819309651851654
2026,0,24,0.5372713804244995,0.8198258876800537
2026,0,25,0.5236387252807617,0.8138052821159363
2026,0,26,0.4861399829387665,0.8241539597511292
2026,0,27,0.4670824110507965,0.8191149234771729
2026,0,28,0.47487837076187134,0.8027455806732178
2026,0,29,0.47825199365615845,0.7882543802261353
2026,0,30,0.45603862404823303,0.7844476699829102
2026,0,31,0.44940343499183655,0.7799755334854126
2026,0,32,0.4483128488063812,0.7850322127342224
2026,0,33,0.4592278301715851,0.7712233066558838
2026,0,34,0.45854878425598145,0.7612965106964111
2026,0,35,0.44884422421455383,0.7515416145324707
2026,0,36,0.42129772901535034,0.7497217059135437
2026,0,37,0.4264810085296631,0.7358804941177368
2026,0,38,0.42009660601615906,0.728162407875061
2026,0,39,0.408486008644104,0.7136428952217102
2026,0,40,0.4013316035270691,0.7098618149757385
2026,0,41,0.4211323857307434,0.6597639322280884
2026,0,42,0.41147783398628235,0.6987050175666809
2026,0,43,0.3774547278881073,0.6997973918914795
2026,0,44,0.38721340894699097,0.6798464059829712
2026,0,45,0.34689730405807495,0.6660730838775635
2026,0,46,0.3638187050819397,0.6607971787452698
2026,0,47,0.34315603971481323,0.6409828066825867
2026,0,48,0.3594813942909241,0.636774480342865
2026,0,49,0.34643539786338806,0.6410046815872192
